user_id,song_id,listen_count
b80344d063b5ccb3212f76538f3d9e43d87dca9e,SOBBMDR12A8C13253B,2
17aa9f6dbdf753831da8f38c71b66b64373de613,SONMWXV12AB01803B4,1
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOSZNRJ12A8AE46E38,6
5a905f000fc1ff3df7ca807d57edb608863db05d,SOAKDHD12A6310F1AE,1
5a905f000fc1ff3df7ca807d57edb608863db05d,SOCXGVX12A67AD85A1,1
5a905f000fc1ff3df7ca807d57edb608863db05d,SOEDGBE12A670211D3,2
5a905f000fc1ff3df7ca807d57edb608863db05d,SOETSTN12A81C219A9,3
5a905f000fc1ff3df7ca807d57edb608863db05d,SOGLBQA12A6701E7AF,4
5a905f000fc1ff3df7ca807d57edb608863db05d,SOMMONH12A6D4F41CD,5
5a905f000fc1ff3df7ca807d57edb608863db05d,SOQISNQ12A8AE45F4C,9
5a905f000fc1ff3df7ca807d57edb608863db05d,SOUTGUB12AB017DC5B,1
5a905f000fc1ff3df7ca807d57edb608863db05d,SOWKLEE12A81C232AC,3
baf47ed8da24d607e50d8684cde78b923538640f,SOHILNH12A6701E1C3,1
baf47ed8da24d607e50d8684cde78b923538640f,SOURJIK12A8C138182,1
bd8475385f0aa78830fa6dfce9e7242164b035c8,SOUTGUB12AB017DC5B,1
403b3b867fc71dfdcc12652f30e88bdc7ccd9aa4,SOUELOC12AB0182DD1,2
405d396ea64d75b5eaefaaf8ac836f45fa56af4d,SOQQYKH12A58A7F534,1
a58de017cbeda1763ea002fe027ed41b4ed53109,SONMWXV12AB01803B4,1
484b69dd013df1ec0cfd504886d4f647cb32b08f,SOSZNRJ12A8AE46E38,1
d66f2f66f2bdc9aa3d0362a35fc91ccc844101f7,SOKNBWG12A58A7D0C8,1
d66f2f66f2bdc9aa3d0362a35fc91ccc844101f7,SOXZSEH12AC468CABB,5
930d2be6c85315d72cab9823ec0f7bfe7e477794,SOBBMDR12A8C13253B,1
b6b799f34a204bd928ea014c243ddad6d0be4f8f,SORYNAN12A8C13CA99,2
732f88be38fae217f8ab7e24c20dd072436e3e40,SOETSTN12A81C219A9,1
732f88be38fae217f8ab7e24c20dd072436e3e40,SOLPVAQ12AB017EB35,18
3f9ed694a79835c921ef6d94acd28f876c1d901e,SOSZNRJ12A8AE46E38,4
a4a1daac7ba5534ade06e32c5b9d220eb5ce145d,SOWONQS12A6D4FC79A,1
01655ae6bc52e29c9cd100a7dde4e9eeae5e4031,SODJMNX12A8C1320C4,1
b4e32cdb654ab914a0ac73d2bbc5cae142da405a,SOBOUPA12A6D4F81F1,1
20d0638c7ada27ac12346b0ed5ab99b39524291d,SOLXRGJ12A8C13AE91,1
ea07020bb223c733ccc55aa925ebcc25c4d97377,SOCKJWI12AB018006A,21
b61afb42335287239bd40e1dea50d849cbf8a9a9,SOZPRNU12A58A7B1CF,1
78e0065cacc15d6329be91b77045f12ab18cbea5,SOYDERO12A6D4F72BC,1
3ff7a31452eeabd7a4e07f0d243c674e3d0adf46,SOLPVAQ12AB017EB35,10
3ff7a31452eeabd7a4e07f0d243c674e3d0adf46,SOWONQS12A6D4FC79A,5
589d9f98cb25b83da2450733437fb9a79dda116d,SOMTVRZ12A8C13A987,5
15415fa2745b344bce958967c346f2a89f792f63,SOUEGBF12AB017EFD5,1
95942345306393998eb3a051ae5fa3c4d5afbaa4,SOUEGBF12AB017EFD5,1
b1269307f2ae8c17062c6aea2502b099aad517b6,SOLPVAQ12AB017EB35,1
4192e443e37ffa08f1cc02b10b42b4a178a09004,SOBOUPA12A6D4F81F1,1
884209a41deb55df792f074bccf8af1c1c31768b,SOETSTN12A81C219A9,1
884209a41deb55df792f074bccf8af1c1c31768b,SOGLBQA12A6701E7AF,1
884209a41deb55df792f074bccf8af1c1c31768b,SOHTLBP12A8C1360DD,1
884209a41deb55df792f074bccf8af1c1c31768b,SOUTGUB12AB017DC5B,1
9b887e10a4711486085c4fae2d2599fc0d2c484d,SOGELNH12AB017F92C,1
9b887e10a4711486085c4fae2d2599fc0d2c484d,SOTGKTG12AB0189D2E,1
bab8d135cf88852063ed4a084dd24c783d7ff841,SOWKLEE12A81C232AC,1
8dcb524ff75e0ad0f0a80aaccadf7bbaa3b89a41,SOCXGVX12A67AD85A1,1
8dcb524ff75e0ad0f0a80aaccadf7bbaa3b89a41,SOSXRBR12AB017C294,1
18dc95f354220b343e98ebbb7c8564291284ed9f,SOJUERX12AB0184DE1,1
0ef42a19efb74d0a05c308d00636c8d8d41bec0c,SOBOUPA12A6D4F81F1,1
e21477efb83bd323205ce6f5bd662f3df9d477e5,SOGLBQA12A6701E7AF,1
7d0317ddb859a960cb4836e7c7e9982a54fd64e2,SOESZWS12A6D4F910C,1
537340ff896dea11328910013cfe759413e1eeb3,SOYDERO12A6D4F72BC,1
4691b4c353503da2c108e372ff056a9ac847c4d1,SOPKTEV12A8C141E33,3
12a4a991c8b53cd6906995caed8b1f2bd3b6436a,SOIUVMN12A8AE47414,1
12a4a991c8b53cd6906995caed8b1f2bd3b6436a,SOWPUTS12A81C22477,1
1b704d4cddabea8258bd93497fcb73eab32fa592,SOQBGZD12AB0184341,2
343fc3fb987ca12c3c5df154c2b4721ca111f696,SOBOUPA12A6D4F81F1,1
624d58f26c2e5691ed21bd560f8b3d30f932e9f7,SOFRZBI12A8C145A85,2
806ccae96c8ecb1c198482aff785ccd6bbe17143,SOBOUPA12A6D4F81F1,5
adbd40c4f3fe78e7f49f491ea04859ea07de1ed1,SORVHGJ12AB01883C4,1
93daed66184da1bf172e853c537f72ec93294fab,SOCKJWI12AB018006A,3
c1fc436b58e28b3e3f1b43a4e955baa19d8a69ba,SOCIUSI12AB018DD03,1
be0a4b64e9689c46e94b5a9a9c7910ee61aeb16f,SOUDGEV12A8C135FC9,7
8fce200f3912e9608e3b1463cdb9c3529aab5c08,SONDUKG12A58A7DA36,1
cc55e399781439435a046bcb1a4c78dc2c7ec0f3,SOZPRNU12A58A7B1CF,1
e3937c7c32f5b68422808a854a4a7a824ee448a5,SOAOOWF12A8C1347EC,1
e3937c7c32f5b68422808a854a4a7a824ee448a5,SOUEGBF12AB017EFD5,1
ea64e003562d2f0f39e5a7dd84af5b1969e0fea3,SOESZWS12A6D4F910C,1
529b42cdbc379ad2e765aec6d3bad8a192038741,SOGKGLB12A81C22AFA,2
d5618c6813c7a067646edcf9c7243ccb95919460,SOFKNVA12A6D4FA879,1
53659e6ae51d163d5de5709c53707df87a669cfb,SOJSFUH12AB018B9E0,1
28b232e7ecb32c47c05b795a017786d4be96ef7e,SORCSTK12A8C13A0F7,1
94d5bdc37683950e90c56c9b32721edb5d347600,SOWEWCO12A8C14074E,1
6a92e22c2538f895532457bc531be9c6d92e66e6,SOQISNQ12A8AE45F4C,1
1645b689f873529ab85e3b72742be44813e82bd3,SOBZCUC12A58A7D9AD,1
